experiment_name,task,data_source,feature_dimension,model_type,VI_method,VI_candidate_name,VI_training_method,ELBO_initial,ELBO_final,ELBO_best,ELBO_best_step,ELBO_mean_last_100,ELBO_std_last_100,num_training_steps,num_mc_samples_train,num_mc_samples_eval,learning_rate,selected_checkpoint,centre_type,centre_value,alpha,random_seed,device,kappa_p,kappa_q,MI_p,MI_q,kappa_p_reliable,kappa_q_reliable,kappa_p_expected,kappa_q_expected_if_known,MI_p_expected,MI_q_expected_if_known,kappa_p_error_if_known,kappa_q_error_if_known,log_N_alpha_r_p_q_over_p_smallest_r,log_N_alpha_r_q_p_over_q_smallest_r,log_N_alpha_r_p_q_over_p_largest_r,log_N_alpha_r_q_p_over_q_largest_r,reliable_radius_count_p_scale,reliable_radius_count_q_scale,adaptive_r_min,adaptive_r_max,grad_norm_log_likelihood,hessian_scale_log_likelihood,radius_selection_reliable,reason_if_unreliable,interpretation
EXP3,MNIST 0 vs 1,synthetic_fallback,2,Bayesian logistic regression,q_MF,q_MF,"ELBO optimisation with reparameterised Monte Carlo; torch autograd Adam when available, NumPy finite-difference Adam fallback otherwise",1.196402129185362,0.7843842886933136,1.196402129185362,1.0,0.9903932089393377,0.20600892024602419,2,4,8,0.025,best,zero,"[0.0, 0.0]",0.5,0,numpy-cpu,2.0114701144281257,2.009297061483415,0.9942976461117411,0.9953729781117825,True,True,2.0,2.0,1.0,1.0,0.011470114428125733,0.009297061483414915,36.42789505300488,0.6931471457800669,36.427550964534895,0.6931471457768055,6,6,1.6124268096155295e-05,0.0006460828691271999,77.35254422130267,114.25480147588472,True,,trained VI posterior local diagnostics; zero is only a finite centre
EXP3,MNIST 0 vs 1,synthetic_fallback,2,Bayesian logistic regression,q_MF,q_MF,"ELBO optimisation with reparameterised Monte Carlo; torch autograd Adam when available, NumPy finite-difference Adam fallback otherwise",1.196402129185362,0.7843842886933136,1.196402129185362,1.0,0.9903932089393377,0.20600892024602419,2,4,8,0.025,best,nonzero,"[-4.54206874, -1.11707875]",0.5,0,numpy-cpu,1.9987338517205397,1.9938504730694622,1.0006334751764825,1.0030842467946308,True,True,2.0,2.0,1.0,1.0,0.0012661482794602552,0.00614952693053783,-7.043582715486636,-7.084937208325744,-6.437342504462957,-6.476104468424759,6,6,1.6124268096155295e-05,0.16219202045804168,0.2806744979507577,0.34036290470921465,True,,trained VI posterior local diagnostics; zero is only a finite centre
EXP3,MNIST 0 vs 1,synthetic_fallback,2,Bayesian logistic regression,q_FR,q_FR,"ELBO optimisation with reparameterised Monte Carlo; torch autograd Adam when available, NumPy finite-difference Adam fallback otherwise",0.9802721019130414,0.69305958335601,0.9802721019130414,1.0,0.8366658426345257,0.14360625927851567,2,4,8,0.025,best,zero,"[0.0, 0.0]",0.5,0,numpy-cpu,2.0114701144281257,2.0092973652937176,0.9942976461117411,0.9953728276091386,True,True,2.0,2.0,1.0,1.0,0.011470114428125733,0.009297365293717608,36.98217892310673,0.6931471541986447,36.981836409804664,0.6931471541961898,6,6,1.6124268096155295e-05,0.0006460828691271999,77.35254422130267,114.25480147588472,True,,trained VI posterior local diagnostics; zero is only a finite centre
EXP3,MNIST 0 vs 1,synthetic_fallback,2,Bayesian logistic regression,q_FR,q_FR,"ELBO optimisation with reparameterised Monte Carlo; torch autograd Adam when available, NumPy finite-difference Adam fallback otherwise",0.9802721019130414,0.69305958335601,0.9802721019130414,1.0,0.8366658426345257,0.14360625927851567,2,4,8,0.025,best,nonzero,"[-4.54206874, -1.11707875]",0.5,0,numpy-cpu,1.9987338517205397,1.9937655049623935,1.0006334751764825,1.0031269951366342,True,True,2.0,2.0,1.0,1.0,0.0012661482794602552,0.0062344950376065356,-4.680388817230998,-4.81215283910203,-4.633452908916786,-4.76185023115454,6,6,1.6124268096155295e-05,0.16219202045804168,0.2806744979507577,0.34036290470921465,True,,trained VI posterior local diagnostics; zero is only a finite centre
EXP3,MNIST 0 vs 1,synthetic_fallback,2,Bayesian logistic regression,q_b,q_b_b1,"ELBO optimisation with reparameterised Monte Carlo; torch autograd Adam when available, NumPy finite-difference Adam fallback otherwise",1.2295429014037143,-0.6033263622720524,1.2295429014037143,1.0,0.31310826956583093,0.9164346318378833,2,4,8,0.025,best,zero,"[0.0, 0.0]",0.5,0,numpy-cpu,2.0114701144281257,2.0092970550197613,0.9942976461117411,0.995372981313771,True,True,2.0,2.0,1.0,1.0,0.011470114428125733,0.009297055019761302,35.13560548644161,0.6931471141940158,35.13526135819203,0.6931471141877665,6,6,1.6124268096155295e-05,0.0006460828691271999,77.35254422130267,114.25480147588472,True,,trained VI posterior local diagnostics; zero is only a finite centre
EXP3,MNIST 0 vs 1,synthetic_fallback,2,Bayesian logistic regression,q_b,q_b_b1,"ELBO optimisation with reparameterised Monte Carlo; torch autograd Adam when available, NumPy finite-difference Adam fallback otherwise",1.2295429014037143,-0.6033263622720524,1.2295429014037143,1.0,0.31310826956583093,0.9164346318378833,2,4,8,0.025,best,nonzero,"[-4.54206874, -1.11707875]",0.5,0,numpy-cpu,1.9987338517205397,2.0092745381812898,1.0006334751764825,0.9953841359132114,True,True,2.0,2.0,1.0,1.0,0.0012661482794602552,0.00927453818128976,3.7516185852955424,0.3008606128315492,2.7488505962775758,0.12569881313389608,6,6,1.6124268096155295e-05,0.16219202045804168,0.2806744979507577,0.34036290470921465,True,,trained VI posterior local diagnostics; zero is only a finite centre
EXP3,MNIST 0 vs 1,synthetic_fallback,2,Bayesian logistic regression,q_b,q_b_b2,"ELBO optimisation with reparameterised Monte Carlo; torch autograd Adam when available, NumPy finite-difference Adam fallback otherwise",0.9899902518255468,0.872074660803978,0.9899902518255468,1.0,0.9310324563147624,0.058957795510784394,2,4,8,0.025,best,zero,"[0.0, 0.0]",0.5,0,numpy-cpu,2.0114701144281257,2.009297071614655,0.9942976461117411,0.9953729730929314,True,True,2.0,2.0,1.0,1.0,0.011470114428125733,0.009297071614655206,36.46964456883519,0.6931471464985641,36.469300533189426,0.6931471464953702,6,6,1.6124268096155295e-05,0.0006460828691271999,77.35254422130267,114.25480147588472,True,,trained VI posterior local diagnostics; zero is only a finite centre
EXP3,MNIST 0 vs 1,synthetic_fallback,2,Bayesian logistic regression,q_b,q_b_b2,"ELBO optimisation with reparameterised Monte Carlo; torch autograd Adam when available, NumPy finite-difference Adam fallback otherwise",0.9899902518255468,0.872074660803978,0.9899902518255468,1.0,0.9310324563147624,0.058957795510784394,2,4,8,0.025,best,nonzero,"[-4.54206874, -1.11707875]",0.5,0,numpy-cpu,1.9987338517205397,1.9938485156023253,1.0006334751764825,1.003085231575788,True,True,2.0,2.0,1.0,1.0,0.0012661482794602552,0.006151484397674656,-7.043582717163339,-7.084937209959541,-6.413212051992423,-6.451955975481658,6,6,1.6124268096155295e-05,0.16219202045804168,0.2806744979507577,0.34036290470921465,True,,trained VI posterior local diagnostics; zero is only a finite centre
EXP3,MNIST 0 vs 1,synthetic_fallback,2,Bayesian logistic regression,q_b,q_b_b3,"ELBO optimisation with reparameterised Monte Carlo; torch autograd Adam when available, NumPy finite-difference Adam fallback otherwise",0.8072038233767401,0.6964183401676814,0.8072038233767401,1.0,0.7518110817722108,0.05539274160452934,2,4,8,0.025,best,zero,"[0.0, 0.0]",0.5,0,numpy-cpu,2.0114701144281257,2.0092970580508265,0.9942976461117411,0.9953729798122308,True,True,2.0,2.0,1.0,1.0,0.011470114428125733,0.009297058050826479,37.24072769679289,0.6931471573954049,37.24038359579137,0.6931471573932413,6,6,1.6124268096155295e-05,0.0006460828691271999,77.35254422130267,114.25480147588472,True,,trained VI posterior local diagnostics; zero is only a finite centre
EXP3,MNIST 0 vs 1,synthetic_fallback,2,Bayesian logistic regression,q_b,q_b_b3,"ELBO optimisation with reparameterised Monte Carlo; torch autograd Adam when available, NumPy finite-difference Adam fallback otherwise",0.8072038233767401,0.6964183401676814,0.8072038233767401,1.0,0.7518110817722108,0.05539274160452934,2,4,8,0.025,best,nonzero,"[-4.54206874, -1.11707875]",0.5,0,numpy-cpu,1.9987338517205397,2.0048977558264682,1.0006334751764825,0.9975571044397478,True,True,2.0,2.0,1.0,1.0,0.0012661482794602552,0.004897755826468231,0.35756965561130016,4.093111776730645,0.07586286154933397,2.661590876291979,6,6,1.6124268096155295e-05,0.16219202045804168,0.2806744979507577,0.34036290470921465,True,,trained VI posterior local diagnostics; zero is only a finite centre
EXP3,MNIST 0 vs 1,synthetic_fallback,2,Bayesian logistic regression,q_b,q_b_b4,"ELBO optimisation with reparameterised Monte Carlo; torch autograd Adam when available, NumPy finite-difference Adam fallback otherwise",-2.077071417096486,-1.734007516741733,-1.734007516741733,2.0,-1.9055394669191095,0.17153195017737644,2,4,8,0.025,best,zero,"[0.0, 0.0]",0.5,0,numpy-cpu,2.0114701144281257,2.0092970813570474,0.9942976461117411,0.9953729682667093,True,True,2.0,2.0,1.0,1.0,0.011470114428125733,0.009297081357047432,37.426605084391205,0.6931471594512715,37.42626110311164,0.6931471594492962,6,6,1.6124268096155295e-05,0.0006460828691271999,77.35254422130267,114.25480147588472,True,,trained VI posterior local diagnostics; zero is only a finite centre
EXP3,MNIST 0 vs 1,synthetic_fallback,2,Bayesian logistic regression,q_b,q_b_b4,"ELBO optimisation with reparameterised Monte Carlo; torch autograd Adam when available, NumPy finite-difference Adam fallback otherwise",-2.077071417096486,-1.734007516741733,-1.734007516741733,2.0,-1.9055394669191095,0.17153195017737644,2,4,8,0.025,best,nonzero,"[-4.54206874, -1.11707875]",0.5,0,numpy-cpu,1.9987338517205397,2.005526296285631,1.0006334751764825,0.9972444658063742,True,True,2.0,2.0,1.0,1.0,0.0012661482794602552,0.005526296285630838,0.6031393799208189,6.849986728100717,0.5334486596567904,5.472477731714127,6,6,1.6124268096155295e-05,0.16219202045804168,0.2806744979507577,0.34036290470921465,True,,trained VI posterior local diagnostics; zero is only a finite centre
